Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,86,WOS:000291721800011,2011,The epidemiology of sepsis in Colombia: A prospective multicenter cohort study in ten university hospitals,"Objective: Our aim was to determine the frequency and the clinical and epidemiologic characteristics of sepsis in a hospital-based population in Colombia. Design: Prospective cohort. Setting: Ten general hospitals in the four main cities of Colombia. Patients: Consecutive patients admitted in emergency rooms, intensive care units, and general wards from September 1, 2007, to February 29, 2008, with confirmation of infection according to the Centers for Disease Control and Prevention definitions. Interventions: None. Measurements and Main Results: The following information was recorded: demographic, clinical, and microbiologic characteristics; Acute Physiology and Chronic Health Evaluation II and Sequential Organ Failure Assessment scores; requirement for intensive care unit; length of stay; and 28-day all-cause mortality. During a period of 6 months, 2,681 patients were recruited: 69% and 31% with community-acquired and hospital-acquired infections, respectively. The mean age was 55 yrs (SD = 21), 51% were female, and the median length of stay was 10 days (interquartile range, 5-19). The mean Acute Physiology and Chronic Health Evaluation score was 11.5 (SD = 7) and the mean Sequential Organ Failure Assessment score was 3.8 (SD = 3). A total of 422 patients with community-acquired infections (16%) were admitted to the intensive care unit as a consequence of their infection and the median length of stay was 4.5 days in the intensive care unit. At admission, 2516 patients (94%) met at least one sepsis criterion and 1,658 (62%) met at least one criterion for severe sepsis. Overall, the 28-day mortality rates of patients with infection without sepsis, sepsis without organ dysfunction, severe sepsis without shock, and septic shock were 3%, 7.3%, 21.9%, and 45.6%, respectively. In community-acquired infections, the most frequent diagnosis was urinary tract infection in 28.6% followed by pneumonia in 22.8% and soft tissue infections in 21.8%. Within hospital-acquired infections, pneumonia was the most frequent diagnosis in 26.6% followed by urinary tract infection in 20.4% and soft tissue infections in 17.4%. Conclusions: In a general inpatient population of Colombia, the rates of severe sepsis and septic shock are higher than those reported in the literature. The observed mortality is higher than the predicted by the Acute Physiology and Chronic Health Evaluation II score. (Crit Care Med 2011; 39: 1675-1682)",Article,"Rodriguez, F.; Barrera, L.; De La Rosa, G.; Dennis, R.; Duenas, C.; Granados, M.; Londono, D.; Molina, F.; Ortiz, G.; Jaimes, F.",sepsis; severe sepsis; septic shock; sepsis epidemiology; Colombia; prospective cohort,sepsis;severe sepsis;septic shock;sepsis epidemiology;Colombia;prospective cohort;INTENSIVE-CARE UNITS;SURVIVING SEPSIS;MORTALITY;STATES,Colombia,2-s2.0-79959646657
,,,82,WOS:000237133000010,2006,"Modelling the conversion of Colombian lowland ecosystems since 1940: Drivers, patterns and rates","In biologically mega-diverse countries that are undergoing rapid human landscape transformation, it is important to understand and model the patterns of land cover change. This problem is particularly acute in Colombia, where lowland forests are being rapidly cleared for cropping and ranching. We apply a conceptual model with a nested set of a priori predictions to analyse the spatial and temporal patterns of land cover change for six 50-100 km(2) case study areas in lowland ecosystems of Colombia. Our analysis included soil fertility, a cost-distance function, and neighbourhood of forest and secondary vegetation cover as independent variables. Deforestation and forest regrowth are tested using logistic regression analysis and an information criterion approach to rank the models and predictor variables. The results show that: (a) overall the process of deforestation is better predicted by the full model containing all variables, while for regrowth the model containing only the auto-correlated neighbourhood terms is a better predictor; (b) overall consistent patterns emerge, although there are variations across regions and time; and (c) during the transformation process, both the order of importance and significance of the drivers change. Forest cover follows a consistent logistic decline pattern across regions, with introduced pastures being the major replacement land cover type. Forest stabilizes at 2-10% of the original cover, with an average patch size of 15.4 (+/- 9.2) ha. We discuss the implications of the observed patterns and rates of land cover change for conservation planning in countries with high rates of deforestation. (c) 2005 Elsevier Ltd. All rights reserved.",Article,"Etter, A.; McAlpine, C.; Pullar, D.; Possingham, H.P.",Colombia; forest transitions; land cover change; logistic regression models; transformation phases,Colombia;forest transitions;land cover change;logistic regression models;transformation phases;LAND-COVER CHANGE;TROPICAL DEFORESTATION;LANDSCAPE TRANSFORMATION;WESTERN HONDURAS;COSTA-RICA;FOREST;DYNAMICS;ECOLOGY;FRAGMENTATION;ACCESSIBILITY,Australia;Colombia,2-s2.0-33344464999
,,,79,WOS:000282201700001,2010,Mango (Mangifera indica L.) flowering physiology,"Mango flowering is an important physiological event that sets the start of fruit production. Initiation is the first event that takes place for mangoes to flower. Coincident with shoot initiation, induction occurs based on the conditions present at the time of initiation. Numerous studies with mango trees support the existence of a florigenic promoter (FP) that is continuously synthesized in mango leaves and induces flowering. Translocation experiments suggest that the FP is carried from leaves to buds in phloem. Induction appears to be governed by the interaction of the FP and a vegetative promoter (VP). The FP is translocated as far as 100 cm in subtropical conditions and 52 cm in tropical conditions. In the tropics, floral induction occurs in stems that have attained sufficient time in rest since the previous flush. The age of the last flush is the primary factor governing flowering in the tropics as evidenced by experiments in Colombia. Tip pruning is ideal to synchronize vegetative flush events in the canopy. Potassium nitrate (KNO3) has been shown to stimulate flowering in sufficiently mature stems. Tip pruning and foliar applied KNO3 are effective methodologies that induce synchronous flowering especially in Colombia. Cool temperatures are important for mango floral induction under subtropical conditions. Mangoes grown in the low-latitude tropics rely less on low temperature. Soil and leaf analyses should be conducted to evaluate the nutrient status of trees. (C) 2010 Elsevier B.V. All rights reserved.",Review,"Ramirez, F.; Davenport, T.L.",Anacardiacea; Colombia; Floral induction; Florigen; Potassium nitrate; Prune,Anacardiacea;Colombia;Floral induction;Florigen;Potassium nitrate;Prune;FLORAL INITIATION;TEMPERATURE;INDUCTION;GROWTH;FRUIT;AGE,Colombia;United States,2-s2.0-77955925225
,,,78,WOS:000246611000010,2007,High proportion of BRCA1/2 founder mutations in Hispanic breast/ovarian cancer families from Colombia,"In South America, a high proportion of the population is of Hispanic origin with an important representation in Colombia. Since nothing is known about the contribution of BRCA1 and BRCA2 germline mutations to hereditary breast/ovarian cancer in the Hispanic population from Colombia, we conducted the first study of 53 breast/ovarian cancer families from this country. Comprehensive BRCA mutation screening was performed using a range of techniques, including DHPLC, SSCP, and PTT, followed by DNA sequencing analysis. Thirteen deleterious germline mutations (24.5%) were identified in 53 families, comprising eight in BRCA1 and five in BRCA2. The two recurrent BRCA1 mutations, 3450 delCAAG and A1708E, accounted for 100% of all BRCA1 mutations identified in this cohort and the recurrent 3034 delACAA BRCA2 mutation for 40% of all BRCA2 mutations. Haplotype analyses suggested that each of these mutations has arisen from a common ancestor. The prevalence of BRCA1 or BRCA2 mutations was 50% in multiple case breast cancer families, and was 33% for the breast-ovarian cancer families. Our findings show that BRCA mutations account for a substantial proportion of hereditary breast/ovarian cancer in Colombia. The spectrum of mutations differed completely to that previously reported in Hispanic families of predominantly Mexican origin from Southern California [1] suggesting that specific genetic risk assessment strategies for the different Hispanic populations in South America and in the United States need to be developed.",Article,"Torres, D.; Rashid, M.U.; Gil, F.; Umana, A.; Ramelli, G.; Robledo, J.F.; Tawil, M.; Torregrosa, L.; Briceno, I.; Hamann, U.",BRCA1/2; germline mutations; hereditary breast; ovarian cancer; Hispanics; Colombia,BRCA1/2;germline mutations;hereditary breast;ovarian cancer;Hispanics;Colombia;BREAST-CANCER;OVARIAN-CANCER;GENETIC-HETEROGENEITY;PHENOTYPE ANALYSIS;RISK;FREQUENCY;PENETRANCE;PREVALENCE,Germany;Colombia;Pakistan,2-s2.0-34249040579
,,,64,WOS:000545792600026,2020,Purchase intention and purchase behavior online: A cross-cultural approach,"This article aims to explore the key factors on e -commerce adoption from elements of social psychology, such as attitude, subjective norms, perceived behavioral control, ease of use and perceived usefulness, introducing the study of non-traditional elements like buying impulse, compatibility, and self -efficacy in online stores, contrasting relationships in a cross-cultural environment. The proposed model is tested from quantitative research with a sample of 584 online consumers in Colombia and Spain. The following statistical analyses were conducted: CFA, structural equations, measurement instrument invariance, and multi -group analysis with EQS 6.3 software. The study reveals that self -efficacy in online stores is a key factor in adopting electronic commerce above the cultures studied. Also, there is significant evidence that proves the moderating effect of national culture on several re- lationships of the model proposed. Results highlight the importance of national culture to understand impulsive buying behavior. The article presents several considerations toward the main elements to generate online pur- chase intention among consumers in an emerging country and finds substantial differences with consumers in a developed country. Practical implications are made for companies to adopt online channels and expand internationally.",Article,"Pena-Garcia, N.; Gil-Saura, I.; Rodriguez-Orejuela, A.; Siqueira, J.R.",Online purchase intention; Purchase behavior; Cross-cultural study; Colombia; Spain; Technology management; Technology adoption; Marketing; Consumer attitude; Decision analysis; Business,Online purchase intention;Purchase behavior;Cross-cultural study;Colombia;Spain;Technology management;Technology adoption;Marketing;Consumer attitude;Decision analysis;Business;INTERNET SELF-EFFICACY;SHOPPING BEHAVIOR;PERCEIVED CONTROL;SUBJECTIVE NORM;MODERATING ROLE;ACCEPTANCE;TECHNOLOGY;CONSUMERS;ADOPTION;MODEL,Colombia;Spain,2-s2.0-85087042852
,,,63,WOS:000240085800003,2006,Unplanned land clearing of Colombian rainforests: Spreading like disease?,"Deforestation often occurs as temporal waves and in localized fronts termed 'deforestation hotspots' driven by economic pulses and population pressure. Of particular concern for conservation planning are 'biodiversity hotspots' where high concentrations of endemic species undergo rapid loss and fragmentation of habitat. We investigate the deforestation process in Caqueta, a biodiversity hotspot and major colonization front of the Colombian Amazon using multi-temporal satellite imagery of the periods 1989-1996-1999-2002. The probabilities of deforestation and regeneration were modeled against soil fertility, accessibility and neighborhood terms, using logistic regression analysis. Deforestation and regeneration patterns and rates were highly variable across the colonization front. The regional average annual deforestation rate was 2.6%, but varied locally between -1.8% (regeneration) and 5.3%, with maximum rates in landscapes with 40-60% forest cover and highest edge densities, showing an analogous pattern to the spread of disease. Soil fertility and forest and secondary vegetation neighbors showed positive and significant relationships with the probability of deforestation. For forest regeneration, soil fertility had a significant negative effect while the other parameters were marginally significant. The logistic regression models across all periods showed a high level of discrimination power for both deforestation and forest regeneration, with ROC values > 0.80. We document the effect of policies and institutional changes on the land clearing process, such as the failed peace process between government and guerillas in 1999-2002, which redirected the spread of deforestation and increased forest regeneration. The implications for conservation in biologically rich areas, such as Caqueta are discussed. (c) 2005 Elsevier B.V All rights reserved.",Article,"Etter, A.; McAlpine, C.; Phinn, S.; Pullar, D.; Possingham, H.P.",tropical deforestation; colonization; multiple scales; biodiversity hotspots; Colombia,tropical deforestation;colonization;multiple scales;biodiversity hotspots;Colombia;COSTA-RICA;COVER CHANGE;LANDSCAPE;ACCESSIBILITY;CONSERVATION;PATTERNS;ECUADOR;AMAZON,Australia;Colombia,2-s2.0-33746573930
,,,60,2-s2.0-84893142010,2013,Hyperproteic hypocaloric enteral nutrition in the critically ill patient: A randomized controlled clinical trial,"Introduction: Our aim was to evaluate the impact of hyperproteic hypocaloric enteral feeding on clinical outcomes in critically ill patients, particularly on severity of organic failure measured with the Sequential Organ Failure Assessment (SOFA). Materials and Methods: In a double blind clinical trial, 80 critically ill adult patients were randomized to hyperproteic hypocaloric or to isocaloric enteral nutrition; all patients completed follow-up of at least 4 days. Prescribed caloric intake was: Hyperproteic hypocaloric enteral nutrition (15 kcal/kg with 1.7 g/kg of protein) or isocaloric enteral nutrition (25 kcal/kg with 20% of the calories as protein). The main outcome was the differences in delta SOFA at 48 h. Secondary outcomes were intensive care unit (ICU) length of stay, days on ventilator, hyperglycemic events, and insulin requirements. Results: There were no differences in SOFA score at baseline (7.5 (standard deviation (SD) 2.9) vs 6.7 (SD 2.5) P = 0.17). The total amount of calories delivered was similarly low in both groups (12 kcal/kg in intervention group vs 14 kcal/kg in controls), but proteic delivery was significantly different (1.4 vs 0.76 g/kg, respectively P ≤ 0.0001). The intervention group showed an improvement in SOFA score at 48 h (delta SOFA 1.7 (SD 1.9) vs 0.7 (SD 2.8) P = 0.04) and less hyperglycemic episodes per day (1.0 (SD 1.3) vs 1.7 (SD 2.5) P = 0.017). Discussion: Enteral hyperproteic hypocaloric nutrition therapy could be associated with a decrease in multiple organ failure measured with SOFA score. We also found decreased hyperglycemia and a trend towards less mechanical ventilation days and ICU length of stay.",Article,"Rugeles, Saul J.; Rueda, Juan David.; Unknown.; Rosselli, Diego",Colombia;critical care;hypocaloric enteral nutrition;permissive underfeeding;randomized controlled trial,Colombia;critical care;hypocaloric enteral nutrition;permissive underfeeding;randomized controlled trial,Colombia;United States,
,,,60,WOS:000370099800020,2016,Violence and conservation: Beyond unintended consequences and unfortunate coincidences,"While the relationship between violence and conservation has gained increasing attention in both academic and activist circles, official and public discourses often portray their entanglements as (unlucky) overlapping phenomena. In this article, we show how, under specific practices of state territorialization, conservation becomes both the means and reasons for violence. Based on ethnographic research in Colombia's emblematic Tayrona National Natural Park, we detail how both the war on drugs and tourism promotion shape these state practices, and how they have translated into everyday, yet powerful, means of dispossession in the name of conservation. By analyzing the effects of the production of peasants as environmental predators, illegal occupants and collateral damage, we show how official conservation strategies have justified local communities' political and material erasure, and how they have resulted in the destruction of their lived ecologies and the erosion of their livelihood strategies. (C) 2015 Elsevier Ltd. All rights reserved.",Article,"Bocarejo, D.; Ojeda, D.",Conservation; Violence; Dispossession; Protected areas; Peasants; Colombia,Conservation;Violence;Dispossession;Protected areas;Peasants;Colombia;NEOLIBERAL CONSERVATION;ACCUMULATION;MULTICULTURALISM;ECOTOURISM;SECURITY;POLITICS;PARK,Colombia,2-s2.0-84955137478
,,,58,WOS:000278308100010,2010,"Spatial and temporal variability of fires in relation to ecosystems, land tenure and rainfall in savannas of northern South America","Fire is a predominant factor forcing global terrestrial biomass dynamics, with more than 30% of the land surface showing frequent burning, particularly in the tropics, where it mostly affects savannas ecosystems annually. Savannas, which cover approximately 269 million ha in South America, play a major role in the global carbon cycle. They are affected by increasing human pressures and global climate change. Using satellite data, this study quantifies vegetation burning in the Colombian Llanos savannas for the period 2000-2008, and analyzes how fire spatial pattern, frequency and extent vary with ecosystem type, land tenure and rainfall. On average 2.75 +/- 0.5 million ha (24 +/- 4.2%) of the savannas burn each year. Burned area is highly variable, with 3.4 million ha burned in 2002-2003 and < 1.9 million ha in 2005-2006. However, during the 2000-2008 period near of 3.7 million ha (33.5%) of the savannas never burned. Compared with the average 8-10 years of fire return time for the tropics and subtropics, these savannas burn twice as often. In addition, the average burn size figure for tropical and subtropical grassland savannas (with < 5% trees) of 7000 ha (median 5000 ha), is about seven times the average burned patch size we found in our study. Fires predominate in the well-drained high plain savannas, lowest figures occurring along the Andean foothills, in forested areas and in pasture and croplands. Annual proportion burned varies with land tenure, being highest in National Parks. This study is the first complete regional map of fire disturbance in a South American savanna. This detailed regional data provides a unique opportunity for increasing the accuracy of global carbon emission calculations.",Article,"Romero-Ruiz, M.; Etter, A.; Sarmiento, A.; Tansey, K.",burned area; Colombia; fire; Llanos Orientales; Modis; satellite,burned area;Colombia;fire;Llanos Orientales;Modis;satellite;BIOMASS;CARBON;PRODUCTIVITY;VEGETATION;FREQUENCY;PATTERNS;RORAIMA;CLIMATE;COVER,United Kingdom;Colombia,2-s2.0-77954158821
,,,57,WOS:000239004700005,2006,Characterizing a tropical deforestation wave: a dynamic spatial analysis of a deforestation hotspot in the Colombian Amazon,"Tropical deforestation is the major contemporary threat to global biodiversity, because a diminishing extent of tropical forests supports the majority of the Earth's biodiversity. Forest clearing is often spatially concentrated in regions where human land use pressures, either planned or unplanned, increase the likelihood of deforestation. However, it is not a random process, but often moves in waves originating from settled areas. We investigate the spatial dynamics of land cover change in a tropical deforestation hotspot in the Colombian Amazon. We apply a forest cover zoning approach which permitted: calculation of colonization speed; comparative spatial analysis of patterns of deforestation and regeneration; analysis of spatial patterns of mature and recently regenerated forests; and the identification of local-level hotspots experiencing the fastest deforestation or regeneration. The colonization frontline moved at an average of 0.84 km yr(-1) from 1989 to 2002, resulting in the clearing of 3400 ha yr(-1) of forests beyond the 90% forest cover line. The dynamics of forest clearing varied across the colonization front according to the amount of forest in the landscape, but was spatially concentrated in well-defined 'local hotspots' of deforestation and forest regeneration. Behind the deforestation front, the transformed landscape mosaic is composed of cropping and grazing lands interspersed with mature forest fragments and patches of recently regenerated forests. We discuss the implications of the patterns of forest loss and fragmentation for biodiversity conservation within a framework of dynamic conservation planning.",Article,"Etter, A.; McAlpine, C.; Phinn, S.; Pullar, D.; Possingham, H.P.",Amazon; Colombia; deforestation; forest cover zones; local hotspots; spatial pattern; tropical forests; unplanned colonization; zoning,Amazon;Colombia;deforestation;forest cover zones;local hotspots;spatial pattern;tropical forests;unplanned colonization;zoning;LAND-COVER CHANGE;LANDSCAPE DYNAMICS;FOREST BIOMASS;PATTERNS;RATES;AGE,Australia;Colombia,2-s2.0-33745807254
,,,53,2-s2.0-0031810777,1998,"Effects of fruit patch availability on feeding subgroup size and spacing patterns in four primate species at Tinigua National Park, Colombia","We examined the effects of fruit patch size, density, and distribution on feeding subgroups size and feeding bout duration in four Neotropical primates - Lagothrix lagotricha, Ateles belzebuth, Cebus apella, and Alouatta seniculus - based on 2494 hr of focal animal sampling in Tinigua National Park, Colombia. All four species show positive correlations between patch size (tree diameter at breast height; DBH) and subgroup size (maximum number of individuals from the focal group feeding at the same time), but the determination coefficients are very low and this relationship does not seem to influence strongly the actual size of the groups. Ateles showed the weakest correlation between patch size and feeding party size, and their fission-fusion sociality is best explained as a mechanism to reduce intragroup competition rather than to adjust the subgroup size to the availability of patches. Feeding associations as well as proximal spacing patterns, in general, are more alike in species with similar ecological requirements.",Article,"Unknown.; Quinones, Marcela J.; Ahumada, J. A.",Alouatta seniculus;Ateles belzebuth;Cebus apella;Colombia;Feeding party size;Fruit patch availability;Lagothrix lagotricha;Proximal spacing;Tinigua National Park,Alouatta seniculus;Ateles belzebuth;Cebus apella;Colombia;Feeding party size;Fruit patch availability;Lagothrix lagotricha;Proximal spacing;Tinigua National Park,Colombia;Colombia;United States,
,,,48,WOS:000430169000013,2018,First report of sporadic cases of Candida auris in Colombia,"Background: Candida auris is a recently reported Candida species that is phenotypically similar to Candida haemulonii and related to hospital outbreaks. This organism can be misidentified as Candida haemulonii, Candida famata, Candida catenulata, or Rhodotorula glutinis by phenotypic approaches. Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) and DNA sequence analysis using internal transcribed spacer rDNA bar-coding provide an accurate identification. Case reports: Three cases of C. auris infection in patients with risk factors for fungal infection (one admitted to the intensive care unit, one with lymphoma, and one with HIV; all three with previous antibiotic use) are reported; these infections were not epidemiologically related. Yeast isolates were recovered from blood, ocular secretion, and bronchoalveolar lavage and were misidentified as C. catenulata and Candida albicans by the phenotypic MicroScan method. The isolates were confirmed to be C. auris by means of MALDI-TOF MS and DNA sequence analysis. Antifungal susceptibility testing was performed on these C. auris isolates, which exhibited high minimum inhibitory concentrations to triazoles and amphotericin B. One patient survived and the other two died. Only one of these deaths was related to fungemia. Conclusions: C. auris is an emerging and opportunistic multidrug-resistant human pathogen. It is necessary to strengthen measures to achieve an accurate and quick identification and also to avoid its dissemination. This will require improvements in health and infection control measures, as well as the promotion of antifungal stewardship in healthcare facilities. (c) 2018 The Author(s). Published by Elsevier Ltd on behalf of International Society for Infectious Diseases. This is an open access article under the CC BY-NC-ND license.",Article,"Parra-Giraldo, C.M.; Valderrama, S.L.; Cortes-Fraile, G.; Garzon, J.R.; Ariza, B.E.; Morio, F.; Linares-Linares, M.Y.; Ceballos-Garzon, A.; de la Hoz, A.; Hernandez, C.; Alvarez-Moreno, C.; Le Pape, P.",Candida auris; Multidrug resistance; Sporadic; Fungal; Colombia,Candida auris;Multidrug resistance;Sporadic;Fungal;Colombia,Colombia;France,2-s2.0-85043498374
,,,45,WOS:000343385100012,2014,"Infection of Amblyomma ovale by Rickettsia sp strain Atlantic rainforest, Colombia","Our goal was to understand rickettsial spotted fevers' circulation in areas of previous outbreaks reported from 2006 to 2008 in Colombia. We herein present molecular identification and isolation of Rickettsia sp. Atlantic rainforest strain from Amblyomma ovate ticks, a strain shown to be pathogenic to humans. Infected ticks were found on dogs and a rodent in Antioquia and Cordoba Provinces. This is the first report of this rickettsia outside Brazil, which expands its known range considerably. (C) 2014 Elsevier GmbH. All rights reserved.",Article,"Londono, A.F.; Diaz, F.J.; Valbuena, G.; Gazi, M.; Labruna, M.B.; Hidalgo, M.; Mattar, S.; Contrera, V.; Rodas, J.D.",Rickettsia sp strain Atlantic rainforest; Colombia; Amblyomma ovale; Rodents,Rickettsia sp strain Atlantic rainforest;Colombia;Amblyomma ovale;Rodents;SPOTTED-FEVER RICKETTSIOSIS;TICKS ACARI IXODIDAE;STATE,Colombia;United States;Brazil,2-s2.0-84907704472
,,,45,WOS:000412511000008,2017,Integrated reporting as a strategy for firm growth: multiple case study in Colombia,"Purpose - The purpose of this paper is to evaluate the implementation of the integrated reporting (IR) framework in a group of Colombian enterprises. Design/methodology/approach - This is a multiple-case study in six enterprises that use the IR framework. The selected enterprises, all of which were located in either Bogota or Medellin, were Argos, EEB, EPM, ISA, Nutresa and Ocensa. The authors conducted individual interviews of reporters and performed a documentary analysis. Findings - The few Colombian firms that use the IR framework all have ambitious expansion goals in the medium term. The main reason for the adoption of the IR framework in these firms is that it facilitates access to resources from new foreign investors. Research limitations/implications - Since the framework was published recently, only a few Colombian firms follow it, and several of them do not apply all of its components. In the future, there will be more reports and a higher level of framework application. Practical implications - In the firms studied, the IR framework is an important tool to support the search strategies of new sources of financial capital. Social implications - If the use of the International Integrated Reporting Council (IIRC) framework were to diminish the application of the GRI, firms would be less likely to evaluate the impact of their activities on numerous stakeholders (other than shareholders). Originality/value - This is the first Colombian study of IR to include both documentary analysis and personal interviews.",Article,"Macias, H.A.; Farfan-Lievano, A.",Colombia; Case study; Integrated reporting; Emerging markets; Multilatina; Sustainability,Colombia;Case study;Integrated reporting;Emerging markets;Multilatina;Sustainability;VALUE CREATION;VALUE CAPTURE;CHALLENGES;INSIGHTS;SYSTEM,Colombia,2-s2.0-85031099765
